LONGITUDE,LATITUDE,PB206_PB204,PB207_PB204,PB208_PB204
32.147,-47.7,18.138,15.473,37.95
98.03,-47.7,17.917,15.488,37.7427
97.98,-47.68,17.9935,15.482,37.7085
101.532,-47.6313,18.105,15.485,37.944
97.94,-47.63,17.9141,15.4783,37.6838
97.86,-47.62,17.928,15.4797,37.7114
97.8,-47.59,18.0042,15.4753,37.6288
101.223,-47.59,17.996,15.467,37.764
97.74,-47.57,17.9015,15.4624,37.5348
97.68,-47.53,18.0536,15.4804,37.7766
97.61,-47.51,17.923,15.4796,37.6938
127.604,-47.4932,18,15.478,37.904
97.55,-47.48,17.9202,15.4806,37.6915
100.961,-47.4583,18.257,15.512,38.102
97.512,-47.4463,17.898,15.4955,37.772
97.44,-47.41,17.908,15.478,37.7221
97.38,-47.38,17.918,15.4801,37.7157
97.32,-47.36,17.9081,15.4807,37.7278
100.672,-47.335,18.133,15.483,37.923
97.26,-47.31,17.9048,15.48,37.7054
97.23,-47.27,17.889,15.4703,37.6584
97.16,-47.24,17.9515,15.4798,37.7547
97.09,-47.21,17.7622,15.4709,37.6068
97.01,-47.19,17.8858,15.4777,37.7044
100.863,-47.1865,18.088,15.466,37.874
32.67,-47.17,18.078,15.454,37.59
96.95,-47.16,17.8871,15.4784,37.7149
96.89,-47.12,17.8416,15.4775,37.6817
96.8325,-47.076,17.841,15.481,37.786
96.76,-47.05,17.8703,15.4707,37.7432
96.71,-47.02,17.8152,15.4723,37.6725
96.69,-46.95,17.8058,15.4731,37.6371
96.63,-46.92,17.7773,15.476,37.6161
96.57,-46.9,17.7971,15.4755,37.5986
37.86,-46.89,18.688,15.529,38.471
37.86,-46.875,18.715,15.529,38.509
96.51,-46.87,17.7847,15.4768,37.6341
96.45,-46.83,17.8007,15.4747,37.641
96.39,-46.8,17.7303,15.4727,37.5923
96.3675,-46.7782,17.731,15.47,37.596
96.3,-46.75,17.7448,15.4779,37.6538
96.24,-46.71,17.7254,15.4804,37.6508
96.18,-46.69,17.7344,15.483,37.6739
96.12,-46.66,18.123,15.4969,37.9258
96.06,-46.62,17.7245,15.4775,37.6277
95.99,-46.6,17.7171,15.4779,37.6536
33.87,-46.495,18.261,15.552,38.37
51.826,-46.4529,19.155,15.6063,39.1976
51.835,-46.451,18.8948,15.5891,39.0406
51.828,-46.4441,19.0049,15.598,39.1268
51.839,-46.4425,18.8861,15.5821,38.9717
51.8312,-46.4412,18.9865,15.5898,39.0693
51.8306,-46.441,18.9915,15.5947,39.0848
50.4193,-46.4346,19.2246,15.6078,38.9384
52.1184,-46.4317,18.8956,15.5838,39.0433
50.4179,-46.4302,19.6339,15.6325,39.3506
50.4092,-46.4264,19.3586,15.617,39.1855
50.4048,-46.4252,19.6054,15.632,39.306
50.4145,-46.4246,19.2239,15.6112,39.09
50.4147,-46.4245,19.3241,15.6072,39.1078
50.3903,-46.411,19.3145,15.6125,39.1139
52.1933,-46.4078,18.9647,15.5864,39.1495
52.2043,-46.3966,18.8973,15.5844,39.0483
33.508,-46.378,18.118,15.501,37.87
68.492,-46.277,18.43555,15.55045,38.6855
68.4917,-46.26,18.36812244,15.54695839,38.62718991
96.19,-46.26,17.843,15.4652,37.5114
96.11,-46.21,17.8554,15.4675,37.5352
95.97,-46.18,17.8406,15.46255,37.5458
96,-46.16,17.8451,15.4659,37.4898
95.93,-46.09,18.15845,15.494,37.8627
95.83,-46.05,17.8852,15.4708,37.5909
34.07,-46.03,18.223,15.469,37.781
95.77,-46.02,17.8451,15.4655,37.5186
50,-46,19.6277,15.62985,39.3042
130,-45.9567,18.68605,15.50325,38.2368
95.73,-45.95,17.8757,15.46915,37.55705
96.12,-45.83,17.7729,15.4586,37.3603
96.31,-45.3,17.7971,15.4708,37.5518
96.11,-45.2,17.8163,15.4705,37.5781
96.12,-45.19,17.84,15.4722,37.5927
95.6983,-45.1845,17.926,15.479,37.55
95.59,-45.1743,17.883,15.479,37.546
96.03,-45.16,17.8807,15.4751,37.6461
95.9322,-45.1105,17.754,15.463,37.498
95.41,-45.11,17.8662,15.4879,37.5548
95.4088,-45.106,17.875,15.477,37.523
95.34,-45.08,17.8725,15.4835,37.5442
95.764,-45.0512,18.133,15.504,37.92
95.76,-45.05,18.1206,15.4992,37.9203
95.26,-45.04,17.8609,15.4861,37.5371
95.09,-44.96,17.858,15.4774,37.5126
95.01,-44.92,17.9117,15.4837,37.58
36.47,-44.9,18.289,15.5095,38.0463
94.92,-44.89,17.8648,15.4772,37.5232
36.18,-44.86,18.3663,15.5162,38.1243
